"Column_Names","Additional_Labels"
"v2peedueq","Educational equality [V-Dem, 2019]"
"v2pehealth","Health equality [V-Dem, 2019]"
"v2peapsecon","Access to public services distributed by socio-economic position [V-Dem, 2019]"
"v2peasjsoecon","Access to state jobs by socio-economic position [V-Dem, 2019]"
"v2clgencl","Gender equality in respect for civil liberties [V-Dem, 2019]"
"v2peasjgen","Access to state jobs by gender [V-Dem, 2019]"
"v2peasbgen","Access to state business opportunities by gender [V-Dem, 2019]"
"v2cafres","Freedom to research and teach [V-Dem, 2019]"
"v2cafexch","Freedom of academic exchange and dissemination [V-Dem, 2019]"
"v2x_corr","Political corruption index 0 to 1 index  [V-Dem, 2019]"
"v2x_gender","Women political empowerment index 0 to 1 index  [V-Dem, 2019]"
"v2x_gencl","Women civil liberties index 0 to 1 index  [V-Dem, 2019]"
"v2x_genpp","Women political participation index 0 to 1 index  [V-Dem, 2019]"
"v2x_rule","Rule of law index 0 to 1 index  [V-Dem, 2019]"
"v2xcl_acjst","Access to justice [V-Dem, 2019]"
"ID_GPS","Party ID [Global Party Survey, 2018]"
"ID_PartyFacts","Party ID Party Facts [https://partyfacts.herokuapp.com/data/]"
"Partyname","Party name English [Global Party Survey, 2018]"
"Partyabb","Party name abbeviation [Global Party Survey, 2018]"
"cparty","ISO country + full party name (string text) [Global Party Survey, 2018]"
"cpartyabb","ISO + party abbreviation [Global Party Survey, 2018]"
"Type_Values","The Party Values typology combines the categories of economic and social values"
"Type_Populism","Type of Pluralist or Populist party by their rhetoric (recoded into 4 categories"
"Type_Populist_Values","The Populist Values typology combines the categories of rhetoric and the social"
"Type_Partysize_vote","Size of party by its share of the vote in national elections (recoded into 3 ord"
"Type_Partysize_seat","Size of party by its share of seats in national elections (recoded into 3 ordina"
"GPS_V4_Scale","The party is leftwing (0) or rightwing (10) in their economic values (scale) [Gl"
"GPS_V6_Scale","The party is liberal (0) or conservative (10) in their social values (scale) [Gl"
"GPS_V8_Scale","The party favors pluralist (0) or populist (10) rhetoric (scale) [Global Party S"
"GPS_V9","Salient is populist rhetoric for the party: No importance (0) to great importanc"
"GPS_V10","Issues: Party favors liberal (0) or restrictive (10) immigration policies [Globa"
"GPS_V11","Issues: Party favors increased public spending (0) or reduced taxation (10) [Glo"
"GPS_V12","Issues: Party favors (0) or opposes (10) environmental protection [Global Party"
"GPS_V13","Issues: Party favors nationalism (0) or multilateralism (10) [Global Party Surve"
"GPS_V14","Issues: Party favors (0) or opposes (10) women's rights [Global Party Survey, 20"
"GPS_V15","Issues: Party favors (0) or opposes (10) ethnic minority rights [Global Party Su"
"GPS_V16","Issues: Party respects (0) or undermines (10) liberal democratic principles, nor"
"GPS_V17","Issues: Party favors the distribution of public goods universally (0) or to thei"
"WVS_LR_PartyVoter","Party voters' mean position on Left-Right values scale (E033) [World Values Surv"
"WVS_LibCon_PartyVoter","Party voters' mean position on Liberal-Conservative (Homosexual rights, abortion"
"WVS_Polmistrust_PartyVoter","Party voters' mean Political Mistrust scale [World Values Survey, 2020]"
"WVS_LR_MedianVoter","Median voters' position on the Left (1) to Right (10) values scale (E033) [World"
"WVS_LibCon_MedianVoter","Median voters' position on the Liberal (0) to Conservative (10) scale [World Val"
"v2psbars","Barriers to parties [V-Dem, 2018]"
"v2psorgs","Party organizations [V-Dem, 2018]"
"v2psprbrch","Party branches [V-Dem, 2018]"
"v2psprlnks","Party linkages [V-Dem, 2018]"
"v2psplats","Distinct party platforms [V-Dem, 2018]"
"v2xnp_client","Clientelism Index [V-Dem, 2018]"
"v2xps_party","Party institutionalization index [V-Dem, 2018]"
